时间,价格(usd),成交额,市值
"2021-12-11 00:00","1.0031139957","12524672.6800045297","6376627373.1315050125",
"2021-12-10 00:00","1.0043004105","16311589.7990229074","6384169212.9864740372",
"2021-12-09 00:00","1.0068144592","16086051.5344187822","6400150599.1121482849",
"2021-12-08 00:00","1.0055125583","16218327.0551034193","6391874633.0942735672",
"2021-12-07 00:00","1.0093247181","20421112.1604704037","6416107893.9239368439",
"2021-12-06 00:00","1.0059982844","17355163.4743634984","6394962312.6860408783",
"2021-12-05 00:00","1.0046313204","16820583.7195420414","6386272752.0166702271",
"2021-12-04 00:00","1.0076240508","42006878.5874242708","6405297036.6301956177",
"2021-12-03 00:00","1.0059946601","12153564.1994772609","6394939273.3847770691",
"2021-12-02 00:00","1.0020190286","15420245.1940044239","6369666850.9838647842",
"2021-12-01 00:00","1.0013712682","22596537.8297995254","6365549146.8086843491",
"2021-11-30 00:00","1.0032337086","16867236.7976167351","6377388368.3363018036",
"2021-11-29 00:00","1.0036064940","14457586.5708431397","6379758102.1361274719",
"2021-11-28 00:00","1.0037426240","12713243.4622521605","6380623457.9591217041",
"2021-11-27 00:00","1.0028628298","16388577.8128811214","6375030753.6618852615",
"2021-11-26 00:00","1.0026700914","30730716.4560055695","6373805548.0809020996",
"2021-11-25 00:00","1.0007445257","15796726.4635553341","6361565049.9286184311",
"2021-11-24 00:00","0.9990083401","19875535.2138565257","6350528409.5535602570",
"2021-11-23 00:00","1.0036140499","16300667.9555761702","6379806134.2491197586",
"2021-11-22 00:00","1.0009523886","25377220.6507607587","6362886399.5835933685",
"2021-11-21 00:00","1.0045025456","17153928.7267150469","6385454152.2602624893",
"2021-11-20 00:00","0.9982704801","16661934.3561475519","6345837957.4228010178",
"2021-11-19 00:00","1.0009791789","30156707.2915201746","6363056700.9672574997",
"2021-11-18 00:00","1.0018839186","21286483.1098680012","6368807979.5116310120",
"2021-11-17 00:00","1.0032584769","19103702.0957135856","6377545816.1371803284",
"2021-11-16 00:00","1.0024167571","27431762.1151027232","6372195144.4380550385",
"2021-11-15 00:00","0.9994690693","10373872.6872320399","6353457187.7849369049",
"2021-11-14 00:00","1.0007177443","9167105.7917509917","6361394805.3477153778",
"2021-11-13 00:00","0.9993558290","16109510.4650077038","6352737338.0016326904",
"2021-11-12 00:00","1.0043582309","17496316.1067361794","6384536767.7493782043",
"2021-11-11 00:00","1.0019335880","27055678.9065039158","6369123719.5798788071",
"2021-11-10 00:00","1.0006148718","19578190.2783371061","6360740862.1298942566",
"2021-11-09 00:00","1.0024642926","20186422.4791258387","6372497319.7360553741",
"2021-11-08 00:00","1.0025823659","15036721.0732152890","6373247892.1959066391",
"2021-11-07 00:00","1.0021742196","11159722.5701982901","6370653374.4931192398",
"2021-11-06 00:00","1.0020179061","16178809.9829052612","6369659715.4169836044",
"2021-11-05 00:00","0.9994680972","24313757.2927585356","6353451008.1464834213",
"2021-11-04 00:00","1.0003222410","24876118.9210049473","6358880657.1856517792",
"2021-11-03 00:00","1.0002918245","22965793.0229032412","6358687304.2152738571",
"2021-11-02 00:00","1.0008444284","21119394.0030517429","6362200114.6331644058",
"2021-11-01 00:00","1.0011663560","18826205.3448544331","6364246554.7263154984",
"2021-10-31 00:00","1.0007319111","38012674.5559063628","6361484861.0747814178",
"2021-10-30 00:00","1.0012397369","15274883.9356260952","6364713024.3738908768",
"2021-10-29 00:00","1.0012615613","23844151.7779176198","6364851758.6292037964",
"2021-10-28 00:00","1.0013386813","34843054.6927336976","6365341997.2486162186",
"2021-10-27 00:00","1.0014518149","28869861.5769433789","6366061168.7836284637",
"2021-10-26 00:00","1.0027781633","14286113.7381168250","6374492542.9982786179",
"2021-10-25 00:00","1.0021039363","15688989.1315884199","6370206595.1495637894",
"2021-10-24 00:00","1.0014111181","12059747.5204597432","6365802465.9975547791",
"2021-10-23 00:00","1.0018817690","9056043.7550441995","6368794314.8282356262",
"2021-10-22 00:00","1.0013409033","14344480.9618017133","6365356122.4499835968",
"2021-10-21 00:00","1.0015577935","23226372.2973078489","6366734857.3254337311",
"2021-10-20 00:00","1.0011819488","12233834.3191937413","6364345675.6246080399",
"2021-10-19 00:00","1.0009794864","9356371.1086183470","6363058655.9835510254",
"2021-10-18 00:00","1.0022224067","13025711.3694086242","6370959691.5672245026",
"2021-10-17 00:00","1.0010145329","7758058.9050882822","6363281440.7785539627",
"2021-10-16 00:00","1.0022696764","17072490.5766624138","6371260177.0989007950",
"2021-10-15 00:00","1.0018533865","28871774.6585297324","6368613892.1835832596",
